LSOA,Unemployed,Full-time student,Unemployment Rate,Eastings,Northings
E01002697,91,94,11.4,530712,183442
E01002709,73,73,8.1,530342,183824
E01002710,86,42,10.6,530605,183379
E01002715,89,55,13.4,530656,184131
E01002696,72,26,5.9,531429,183165
E01002794,64,36,5.6,531630,183943
E01002801,41,47,4,531750,183604
E01002802,53,21,5.4,532008,183319
E01002803,66,64,5.5,531497,183263
E01002695,56,46,5.5,530937,183401
E01002711,71,85,5.7,530331,183083
E01002727,62,31,6.1,531305,183032
E01002728,57,140,8.6,531063,183016
E01002729,69,37,7.4,530990,182878
E01002707,68,54,6.5,532017,182892
E01002723,62,62,7.8,531680,182880
E01002724,36,85,2.7,531726,182198
E01002725,54,56,7.7,531569,182536
E01002726,76,52,7.7,531073,182317
E01033489,26,192,2.4,531994,182276
E01033490,52,88,6.5,532118,182234
E01002701,81,50,10.1,532661,182629
E01002702,109,89,11.4,532412,182728
E01002703,74,70,8.7,532110,182605
E01002704,127,112,10.3,532661,181882
E01002706,85,51,7.8,532323,182223
E01002852,113,49,12,523979,182303
E01002853,66,32,13.4,524157,182012
E01002854,80,36,15.7,524868,181864
E01002855,112,44,13.3,524546,181734
E01002857,97,29,16.2,524213,182037
E01002904,93,23,17.4,523234,182115
E01002905,86,44,11.3,523740,181543
E01002906,95,42,11.3,523687,181551
E01002907,82,24,16.1,523141,181802
E01002876,68,34,7.3,523186,181538
E01002877,80,48,10.6,523700,181040
E01002878,91,30,9.2,524017,181086
E01002908,42,42,5.3,523221,181709
E01002909,78,30,5.9,523780,181474
E01002829,76,31,8.2,524974,181212
E01002830,116,46,11,524726,181232
E01002831,108,39,9.3,524482,181034
E01002832,86,25,8.5,524967,181047
E01002856,106,52,9.6,524490,181585
E01002870,75,43,11.6,523850,180495
E01002872,62,26,9.9,524292,180657
E01002879,84,53,11.3,524162,180922
E01002880,115,37,16.6,523882,180894
E01002881,81,27,12.3,524041,180734
E01002882,45,11,5.9,524746,180647
E01002883,38,20,3.8,525134,180435
E01002884,38,49,4.3,525255,180791
E01002885,59,49,5.3,525393,180793
E01002886,24,17,2.6,525340,181059
E01002833,52,17,5.6,524623,180876
E01002871,44,17,4.6,524395,180139
E01002873,51,25,6.8,523854,180094
E01002874,41,28,5,524462,180843
E01002875,35,16,4.6,524234,180768
E01002824,27,19,3.1,525323,179830
E01002825,44,16,4.5,525403,179659
E01002826,39,17,4.2,525687,179817
E01002827,37,17,3.3,525202,180383
E01002828,25,8,3.3,525113,180368
E01002864,36,16,5.6,524782,179594
E01002866,61,19,5.8,524367,179480
E01002867,80,50,7.1,524672,179096
E01002868,28,15,3.3,524505,179870
E01002869,48,27,5.6,524213,179971
E01002887,44,24,5,526373,179009
E01002889,24,71,3.4,525649,179599
E01002890,21,13,2.6,526100,179332
E01002891,37,21,4.7,526174,179609
E01002892,33,51,3.2,526382,179080
E01002813,34,5,3.4,525371,179179
E01002815,40,31,5.2,525200,178809
E01002816,20,17,2.7,525401,179428
E01002817,30,17,3.7,525160,179244
E01002865,24,15,4,525273,179484
E01002818,38,35,3.2,527634,179230
E01002819,32,18,3.6,527151,179115
E01002859,23,28,2.4,527811,178568
E01002860,28,18,3.2,527233,178774
E01002863,21,21,2.5,527882,179136
E01002812,51,38,5.1,525572,178944
E01002834,29,30,3.7,525683,178441
E01002839,97,28,10.5,525972,178652
E01002850,47,60,6,525456,178714
E01002888,60,34,5,525907,178957
E01002821,11,26,1.4,526766,178780
E01002823,53,20,7.9,527066,178836
E01002858,61,47,9.5,527249,178716
E01002861,49,13,6.2,527583,178402
E01002862,65,36,7.7,527189,178712
E01002814,90,39,8.9,524983,178790
